Category,Unit,KWH,Source
additives_and_oxygenates,"Metric tons,  thousand",8333340,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
coking_coal,"Metric tons,  thousand",7833339.6,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
lignite,"Metric tons,  thousand",0,0
lubricants,"Metric tons,  thousand",12361121,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
naphtha,"Metric tons,  thousand",12361121,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
patent_fuel,"Metric tons,  thousand",5750004.6,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
electricity_net_installed_capacity_of_electric_power_plants,"Kilowatts,  thousand",1000,
animal_waste,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
biogases,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
black_liquor,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
blast_furnace_gas,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
coke_oven_coke,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
direct_use_of_geothermal_heat,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
direct_use_of_solar_thermal_heat,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
gasworks_gas,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
heat,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
industrial_waste,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
municipal_wastes,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
natural_gas_including_lng,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
other_recovered_gases,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
other_vegetal_material_and_residues,Terajoules,277777.778,https://www.iea.org/statistics/resources/unitconverter/
falling_water,"Kilowatt-hours, million",1000000,
geothermal,"Kilowatt-hours, million",1000000,
hydro,"Kilowatt-hours, million",1000000,
nuclear_electricity,"Kilowatt-hours, million",1000000,
solar_electricity,"Kilowatt-hours, million",1000000,
thermal_electricity,"Kilowatt-hours, million",1000000,
tide_wave_and_ocean_electricity,"Kilowatt-hours, million",1000000,
total_electricity,"Kilowatt-hours, million",1000000,
bagasse,"Metric tons,  thousand",2144446.16,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
oil_shale_oil_sands,"Metric tons,  thousand",2472224.2,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
peat,"Metric tons,  thousand",2711113.28,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
peat_products,"Metric tons,  thousand",2711113.28,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
brown_coal,"Metric tons,  thousand",3888892,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
other_bituminous_coal,"Metric tons,  thousand",5555560,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
other_coal_products,"Metric tons,  thousand",5555560,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
brown_coal_briquettes,"Metric tons,  thousand",5750004.6,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
anthracite,"Metric tons,  thousand",7166672.4,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
of_which_biogasoline,"Metric tons,  thousand",7444450.4,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
biogasoline,"Metric tons,  thousand",7466672.64,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
other_liquid_biofuels,"Metric tons,  thousand",7611117.2,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
coal_tar,"Metric tons,  thousand",7777784,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
gas_coke,"Metric tons,  thousand",7833339.6,https://unstats.un.org/unsd/energy/balance/2013/05.pdf
