Country,Category_Rollup,Year,KWH,CO2
Afghanistan,Clean,1990,1128000000.0,79654000.0
Afghanistan,Clean,1991,1015000000.0,71265000.0
Afghanistan,Clean,1992,703000000.0,49343000.0
Afghanistan,Clean,1993,695000000.0,48387500.0
Afghanistan,Clean,1994,687000000.0,47432000.0
Afghanistan,Clean,1995,675000000.0,46241000.0
Afghanistan,Clean,1996,675000000.0,44787500.0
Afghanistan,Clean,1997,670000000.0,42272500.0
Afghanistan,Clean,1998,665000000.0,39757500.0
Afghanistan,Clean,1999,685000000.0,41742500.0
Afghanistan,Clean,2000,687700000.0,40500450.0
Afghanistan,Clean,2001,691100000.0,43131200.0
Afghanistan,Clean,2002,722200000.0,37779500.0
Afghanistan,Clean,2003,976000000.0,71189500.0
Afghanistan,Clean,2004,780000000.0,49152500.0
Afghanistan,Clean,2005,906000000.0,54713500.0
Afghanistan,Clean,2006,913000000.0,60011000.0
Afghanistan,Clean,2007,950000000.0,60534000.0
Afghanistan,Clean,2008,394788000000.0,7343468500.0
Afghanistan,Clean,2009,889000000.0,34857500.0
Afghanistan,Clean,2010,892000000.0,36689500.0
Afghanistan,Clean,2011,1005000000.0,47016500.0
Afghanistan,Clean,2012,1022000000.0,42163000.0
Afghanistan,Clean,2013,1022300000.0,54184150.0
Afghanistan,Clean,2014,1049300000.0,44283050.0
Afghanistan,Coal,1990,4168511534422.294,1365187527523.3013
Afghanistan,Coal,1991,3256730621514.497,1066579278545.9978
Afghanistan,Coal,1992,3256757368202.561,1066588038086.3387
Afghanistan,Coal,1993,4168582006700.894,1365210607194.5427
Afghanistan,Coal,1994,3256826701452.472,1066610744725.6846
Afghanistan,Coal,1995,506567733.80100006,165900932.81982753
Afghanistan,Coal,1996,531847989.273,174180216.4869075
Afghanistan,Coal,1997,537856798218.416,176148101416.53125
Afghanistan,Coal,1998,598079826.5489999,195871143.1947975
Afghanistan,Coal,1999,628747746.485,205914886.97383752
Afghanistan,Coal,2000,670342779.761,219537260.37172753
Afghanistan,Coal,2001,897926687.8970001,294070990.2862675
Afghanistan,Coal,2002,882157402.2900001,288906549.249975
Afghanistan,Coal,2003,1021968506.293,334694685.8109575
Afghanistan,Coal,2004,1040606972.161,340798783.3827275
Afghanistan,Coal,2005,538097567577.698,176226953381.6961
Afghanistan,Coal,2006,538121937874.972,176234934654.05334
Afghanistan,Coal,2007,538147070256.189,176243165508.9019
Afghanistan,Coal,2008,538172964721.349,176251645946.2418
Afghanistan,Coal,2009,4964162242.707,1625763134.4865425
Afghanistan,Coal,2010,6823789348.3619995,2234791011.588555
Afghanistan,Coal,2011,12996474786.013,4256345492.4192576
Afghanistan,Coal,2012,11069889530.039,3625388821.0877724
Afghanistan,Coal,2013,11969026135.812,3919856059.47843
Afghanistan,Coal,2014,538337894436.626,176305660427.99503
Afghanistan,Exclude,1990,282494000.0,70623500.0
Afghanistan,Exclude,1991,250494000.0,62623500.0
Afghanistan,Exclude,1992,205494000.0,51373500.0
Afghanistan,Exclude,1993,203494000.0,50873500.0
Afghanistan,Exclude,1994,200494000.0,50123500.0
Afghanistan,Exclude,1995,180494000.0,45123500.0
Afghanistan,Exclude,1996,162494000.0,40623500.0
Afghanistan,Exclude,1997,122494000.0,30623500.0
Afghanistan,Exclude,1998,115494000.0,28873500.0
Afghanistan,Exclude,1999,100514000.0,25128500.0
Afghanistan,Exclude,2000,100472000.0,25118000.0
Afghanistan,Exclude,2001,98498000.0,24624500.0
Afghanistan,Exclude,2002,125491000.0,31372750.0
Afghanistan,Exclude,2003,135489000.0,33872250.0
Afghanistan,Exclude,2004,150489000.0,37622250.0
Afghanistan,Exclude,2005,150489000.0,37622250.0
Afghanistan,Exclude,2006,300489000.0,75122250.0
Afghanistan,Exclude,2007,300489000.0,75122250.0
Afghanistan,Exclude,2008,300489000.0,75122250.0
Afghanistan,Exclude,2009,300489000.0,75122250.0
