Country,Year,KWH,CO2
Afghanistan,1990,5269376910164.434,1591923580924.2063
Afghanistan,1991,3275630260715.933,1072220572721.3054
Afghanistan,1992,3272278958374.106,1071477608344.3586
Afghanistan,1993,5255503621804.733,1589174685091.8472
Afghanistan,1994,3273248630037.188,1071921967492.08
Afghanistan,1995,17410341018.415398,5707159870.696719
Afghanistan,1996,17958140995.124996,5959691920.361905
Afghanistan,1997,1627082534361.4612,401117355092.40076
Afghanistan,1998,1101080503432.993,227562610879.5213
Afghanistan,1999,1101085407661.6353,227663377490.6199
Afghanistan,2000,1101916013879.549,227979843165.07205
Afghanistan,2001,19906499330.776997,6950567908.035536
Afghanistan,2002,21813381555.7992,7385895334.176003
Afghanistan,2003,22853374874.7582,7705591581.711203
Afghanistan,2004,21699475390.7734,7570522315.417124
Afghanistan,2005,1101254520791.6228,294454746092.86743
Afghanistan,2006,1103007871790.9248,294969967859.001
Afghanistan,2007,1103842241234.3752,295201022132.80084
Afghanistan,2008,1504666842601.4297,304322846221.13354
Afghanistan,2009,46292454234.7338,14347771497.705618
Afghanistan,2010,54125269024.7136,16563338781.172703
Afghanistan,2011,67478198145.2994,20388474615.28694
Afghanistan,2012,63347757388.589806,19272731240.267647
Afghanistan,2013,60208333736.08613,18622296317.05907
Afghanistan,2014,1120912979669.3716,300173473396.15436
Albania,1990,611001275434.9939,155004836887.82584
Albania,1991,375721789107.5049,110369993308.1395
Albania,1992,370118164055.65485,108861361617.12447
Albania,1993,375079779828.6128,102010560258.17703
Albania,1994,332747528376.86273,96605340076.06502
Albania,1995,715799319170.8627,237786144114.48746
Albania,1996,697150434953.702,237386374547.95572
Albania,1997,3533166534933.9585,1158355241792.4768
Albania,1998,3517447998115.462,1156943568490.3147
Albania,1999,4171531463382.772,1343636190307.6128
Albania,2000,3821273009465.428,1243983759303.2031
Albania,2001,3679949424648.127,1205508802620.692
Albania,2002,3635357516173.2603,1193904546611.52
Albania,2003,387028388546.26,109752288402.84457
Albania,2004,388138444882.236,110153149162.68857
Albania,2005,3539387173167.703,1127079400972.6475
Albania,2006,388781230235.0099,110323291048.36945
Albania,2007,3493962208641.4927,1125401288532.128
Albania,2008,3568348717157.7456,1133071003274.4236
Albania,2009,387986642157.65125,110097302852.55777
Albania,2010,389208478884.0342,109739782789.0656
Albania,2011,386989215308.9931,110083443083.21056
Albania,2012,385749769274.0853,109625996236.09657
Albania,2013,393648190558.5174,111113848198.40771
Albania,2014,3181582423094.235,1025649585890.4615
Algeria,1990,50644859405610.71,11537975465565.873
Algeria,1991,15904827630546.47,4395695813587.4824
Algeria,1992,15884515624734.883,4391515868246.216
Algeria,1993,54985411411155.16,12422120051481.742
Algeria,1994,15951057103685.137,4403689469322.465
Algeria,1995,16089187718748.277,4429820275491.013
Algeria,1996,16175890918511.12,4449019698580.891
Algeria,1997,55446599910634.195,12556671517797.34
Algeria,1998,55244214239680.88,12477727819552.703
Algeria,1999,55569797616163.836,12552491875706.436
Algeria,2000,55534237904418.25,12544809455646.512
Algeria,2001,21225688971432.516,5850995321164.043
Algeria,2002,21248179154067.98,5856090325058.258
Algeria,2003,21245993489043.195,5855746510774.314
Algeria,2004,21294553340504.67,5864269620631.311
Algeria,2005,83633016103766.61,19937106763342.53
Algeria,2006,34886197533701.348,9750772483028.871
Algeria,2007,82085412001989.61,19456114145064.75
Algeria,2008,82132433189480.17,19465147111404.15
Algeria,2009,34961455499091.39,9767081614320.457
Algeria,2010,34905325648280.75,9756677136103.834
Algeria,2011,40022220683631.28,11220287223213.77
Algeria,2012,39924415649097.484,11200058092084.938
Algeria,2013,39931986899224.8,11202723217555.213
Algeria,2014,69514203689057.266,15919391838391.725
American Samoa,1990,124033000.0,24008250.0
American Samoa,1991,136033000.0,26448250.0
American Samoa,1992,134033000.0,25948250.0
American Samoa,1993,151033000.0,29218250.0
American Samoa,1994,160035000.0,30908750.0
American Samoa,1995,171035000.0,33168750.0
American Samoa,1996,178038000.0,34499500.0
American Samoa,1997,187038000.0,36259500.0
American Samoa,1998,194040000.0,37590000.0
American Samoa,1999,201040000.0,38920000.0
American Samoa,2000,209050000.0,40432500.0
American Samoa,2001,211058000.0,40794500.0
American Samoa,2002,222258000.0,43062500.0
American Samoa,2003,235758000.0,45758500.0
American Samoa,2004,235460000.0,45698000.0
American Samoa,2005,237345000.0,46106250.0
American Samoa,2006,236645000.0,45952250.0
American Samoa,2007,232945000.0,45272250.0
American Samoa,2008,233445000.0,45173250.0
American Samoa,2009,221049000.0,42781250.0
American Samoa,2010,204444800.0,39974200.0
American Samoa,2011,196840500.0,38360125.0
American Samoa,2012,196541500.0,38030375.0
American Samoa,2013,197028500.0,38163255.0
American Samoa,2014,197299500.0,38195725.0
Andorra,1990,1929044461.88,477564095.74192506
Andorra,1991,1929044461.88,477564095.74192506
Andorra,1992,1933084465.1120002,479139697.00240505
Andorra,1993,1939464457.714682,479739874.7513651
Andorra,1994,1934315844.835885,479000352.6068281
Andorra,1995,2032413879.1818156,503889484.3648118
Andorra,1996,2136473993.7353077,535113314.00952494
Andorra,1997,2179070916.6472073,548942683.0825593
Andorra,1998,2289243600.8904014,580809430.4443188
Andorra,1999,2390040690.0667496,610302206.430459
Andorra,2000,2444473097.0815372,624986327.4787207
Andorra,2001,2457360607.046183,628841212.8164191
Andorra,2002,2504804737.9201794,641537631.5306712
Andorra,2003,2536309035.800454,650435083.939008
Andorra,2004,2697283147.744125,689902948.6517364
Andorra,2005,2747357089.5666437,705843299.2974344
Andorra,2006,2639478008.8074026,680379953.0515298
Andorra,2007,2685029557.7122707,693494186.6282196
Andorra,2008,2677014418.430776,690764419.5503091
Andorra,2009,2584870753.608595,666434589.2226896
Andorra,2010,2628062686.695829,669177083.1421297
Andorra,2011,2483336130.8055544,636064490.5576859
Andorra,2012,2477070738.748028,635338312.5771326
Andorra,2013,2458189280.6665993,624154438.6124597
Andorra,2014,2410542607.8759823,608570982.76859
Angola,1990,3812749037258.7417,1019239855753.3062
Angola,1991,8839427238345.63,2538048103330.6284
Angola,1992,8844225985183.92,2539697044178.9287
Angola,1993,9538891506393.879,2654708267857.4
Angola,1994,8862098372271.027,2545699360886.043
Angola,1995,9015775405266.611,2549946254883.986
Angola,1996,8875143100769.125,2549834282958.296
Angola,1997,9531531469739.814,2656807456304.205
Angola,1998,9382968994528.387,2654822399615.659
Angola,1999,9341385541413.482,2641519054931.3926
Angola,2000,9346875412477.768,2643489622709.27
Angola,2001,14375169160556.223,4120744809548.645
Angola,2002,14394046099810.701,4125604736602.4966
Angola,2003,14372763379242.45,4122460101132.8022
Angola,2004,14451930301937.299,4139356828130.057
Angola,2005,15980984583139.246,4443779273066.284
Angola,2006,14737256846933.045,4219197670454.846
Angola,2007,17107610916311.742,4762995593900.02
Angola,2008,17266808157201.469,4768109669337.391
Angola,2009,15496000918596.828,4435595949417.76
Angola,2010,15502444129497.857,4437759922383.551
Angola,2011,15680735087876.469,4488624317003.179
Angola,2012,15701033330668.844,4494404937221.126
Angola,2013,15714522444925.781,4498244571574.572
Angola,2014,23808609256790.387,6547647395369.334
Anguilla,1990,225264496.34,57085792.3026
Anguilla,1991,220350605.76,55844694.524299994
Anguilla,1992,248525623.18,62828101.88880001
Anguilla,1993,292148094.6,73712511.8247
Anguilla,1994,294406431.02,74315540.3321
Anguilla,1995,287492540.44000006,72679442.5538
Anguilla,1996,300423103.86,75805597.3469
Anguilla,1997,316268476.48,79264826.62572001
Anguilla,1998,343212940.16,86224315.07544
Anguilla,1999,372868513.03999996,93577953.01088
Anguilla,2000,418046321.52,105124544.54628
Anguilla,2001,447861550.08,112299190.78864
Anguilla,2002,442467098.44000006,110940152.96550001
Anguilla,2003,626378238.2,157437910.7173
Anguilla,2004,549886621.7,138905615.60532
